degree,specialization,cgpa,internship,projects,skills,job_role
B.Tech CS,Software Engineering,7.07,No,6,"Networking, Security, Linux, Testing, JavaScript",Network Administrator
B.Sc Computer Science,Networking,9.11,Yes,9,"HTML, CSS, JavaScript, React, UI/UX, Kubernetes, REST API",Frontend Developer
MBA,Data Science,6.05,Yes,7,"Excel, Power BI, SQL, Communication, TensorFlow, NoSQL",Business Analyst
M.Tech CS,Web Development,5.7,Yes,7,"Networking, Cyber Security, Linux, Firewalls, Troubleshooting, Java",Cyber Security Analyst
BCA,Web Development,5.66,No,1,"HTML, CSS, JavaScript, React, Node.js, Git, Python, Kubernetes",Full Stack Developer
MBA,Mobile Development,8.48,Yes,5,"Selenium, Testing, Automation, Git, Power BI, Agile",QA/Test Engineer
B.Tech CS,Software Engineering,8.45,No,6,"Docker, Kubernetes, CI/CD, AWS, Linux, TensorFlow, Python",DevOps Engineer
BCA,Data Science,8.55,Yes,9,"Networking, Cyber Security, Linux, Firewalls, React Native, GCP",Cyber Security Analyst
B.Sc Computer Science,AI & ML,6.34,Yes,8,"Figma, Adobe XD, UI, UX, Scrum, Git",UI/UX Designer
M.Sc CS,Software Engineering,9.06,No,8,"Linux, Windows Server, Networking, Swift, React",System Administrator
B.Tech IT,Software Engineering,7.51,Yes,5,"Networking, Security, Linux, Excel, Windows Server",Network Administrator
MBA,Data Science,9.96,No,1,"Node.js, Python, Java, SQL, REST API, Swift, Machine Learning",Backend Developer
MBA,Cybersecurity,7.97,No,8,"HTML, CSS, JavaScript, React, UI/UX, UI, Docker",Frontend Developer
MBA,Web Development,7.98,Yes,5,"Networking, Security, Linux, Swift, Testing",Network Administrator
M.Sc CS,Cloud Computing,8.96,No,10,"Python, SQL, Excel, Power BI, Azure, Pandas",Data Analyst
BCA,Data Science,9.9,No,4,"Python, Pandas, Machine Learning, SQL, Statistics, Oracle, UX",Data Scientist
B.Tech CS,Mobile Development,5.9,No,2,"Linux, Windows Server, Networking, DSA, JavaScript",System Administrator
B.Sc Computer Science,Cloud Computing,7.23,Yes,0,"HTML, CSS, JavaScript, React, UI/UX, Selenium, REST API",Frontend Developer
MBA,Networking,5.51,Yes,0,"Troubleshooting, Windows Server, Question/Answer, Automation, C++",IT Support Specialist
MBA,Web Development,6.03,No,4,"Agile, Scrum, Leadership, Planning, NoSQL, UI/UX",Project Manager
B.Sc Computer Science,Web Development,9.37,No,2,"Node.js, Python, Java, SQL, REST API, Question/Answer, JavaScript",Backend Developer
B.Sc Computer Science,Cloud Computing,8.14,No,0,"Networking, Cyber Security, Linux, Firewalls, Windows Server, Security",Cyber Security Analyst
MCA,Cybersecurity,9.62,No,3,"Python, Java, C++, DSA, Git, Swift, UI",Software Developer
MCA,Networking,8.94,No,4,"Excel, Power BI, SQL, Communication, Python, Cyber Security",Business Analyst
MBA,Networking,6.75,Yes,3,"AWS, Azure, GCP, Docker, Git, Question/Answer",Cloud Engineer
MCA,AI & ML,7.81,Yes,2,"Node.js, Python, Java, SQL, REST API, Agile, Question/Answer",Backend Developer
MBA,Software Engineering,7.74,No,6,"Java, Kotlin, Swift, React Native, CSS, Cyber Security",Mobile Developer
B.Sc Computer Science,Mobile Development,7.49,No,7,"Python, Machine Learning, TensorFlow, Scikit-learn, React, Kotlin",ML Engineer
B.Sc Computer Science,Software Engineering,7.04,No,2,"Troubleshooting, Windows Server, Question/Answer, UI, Swift",IT Support Specialist
MBA,Data Science,6.71,Yes,7,"AWS, Azure, GCP, Docker, Machine Learning, Planning",Cloud Engineer
B.Tech CS,Cybersecurity,6.11,Yes,5,"Python, Java, C++, DSA, Git, Cyber Security, Leadership",Software Developer
MBA,Data Science,6.45,Yes,7,"Python, Machine Learning, TensorFlow, Scikit-learn, DSA, Excel",ML Engineer
M.Sc CS,Data Science,9.06,Yes,7,"Python, SQL, Excel, Power BI, Kubernetes, TensorFlow",Data Analyst
M.Tech CS,Mobile Development,8.49,Yes,10,"Figma, Adobe XD, UI, UX, REST API, Machine Learning",UI/UX Designer
MBA,Web Development,6.62,No,9,"Node.js, Python, Java, SQL, REST API, Troubleshooting, Figma",Backend Developer
B.Tech IT,Cybersecurity,6.32,Yes,7,"Node.js, Python, Java, SQL, REST API, Agile, DSA",Backend Developer
M.Tech CS,Web Development,9.03,No,0,"AWS, Azure, GCP, Docker, Adobe XD, Communication",Cloud Engineer
M.Tech CS,Mobile Development,6.91,No,7,"Troubleshooting, Windows Server, Question/Answer, Swift, Leadership",IT Support Specialist
MCA,Data Science,9.69,No,1,"SQL, Oracle, MySQL, NoSQL, Java, Automation",Database Administrator
M.Tech CS,Cloud Computing,8.24,No,1,"Docker, Kubernetes, CI/CD, AWS, Linux, Kotlin, JavaScript",DevOps Engineer
M.Sc CS,Cloud Computing,8.62,Yes,0,"Figma, Adobe XD, UI, UX, Communication, React",UI/UX Designer
M.Tech CS,Mobile Development,5.57,Yes,2,"Excel, Power BI, SQL, Communication, Java, JavaScript",Business Analyst
B.Sc Computer Science,AI & ML,9.58,Yes,5,"Networking, Cyber Security, Linux, Firewalls, Kotlin, GCP",Cyber Security Analyst
MBA,Networking,5.85,Yes,1,"Docker, Kubernetes, CI/CD, AWS, Linux, Scrum, Kotlin",DevOps Engineer
B.Sc Computer Science,Data Science,7.61,Yes,4,"Python, Machine Learning, TensorFlow, Scikit-learn, HTML, Scrum",ML Engineer
